id,sex,有名人のファッションを参考にする,異性の目を気にする,奇抜なファッションが好き,TPOに気をつかう,体型をカバーできる服を買う,好きなブランドがある
1,男性,No,Yes,No,No,No,Yes
2,男性,No,No,No,No,Yes,No
3,女性,No,No,No,No,Yes,Yes
4,男性,No,Yes,No,No,No,Yes
5,男性,Yes,No,No,Yes,No,No
6,男性,No,No,No,No,No,No
7,男性,No,Yes,No,Yes,No,Yes
8,女性,No,No,No,No,Yes,Yes
9,女性,No,No,No,Yes,No,Yes
10,女性,Yes,No,No,No,No,Yes
11,男性,Yes,Yes,No,No,No,Yes
12,男性,No,No,No,No,No,Yes
13,男性,No,No,No,No,Yes,No
14,男性,No,No,No,Yes,No,No
15,男性,No,No,No,No,No,No
16,男性,No,No,No,No,Yes,Yes
17,男性,No,No,No,No,No,Yes
18,女性,No,No,No,Yes,No,Yes
19,男性,No,Yes,No,No,No,No
20,男性,Yes,No,No,No,No,No
21,男性,Yes,No,No,No,No,No
22,男性,No,No,No,No,No,Yes
23,男性,Yes,No,No,Yes,No,Yes
24,女性,No,No,No,Yes,No,No
25,男性,Yes,Yes,No,No,No,No
26,女性,No,No,No,No,No,Yes
27,男性,No,No,No,Yes,No,Yes
28,女性,No,No,No,No,Yes,No
29,男性,No,No,No,No,No,Yes
30,女性,No,No,No,Yes,No,No
31,男性,No,Yes,No,Yes,No,No
32,男性,Yes,No,No,Yes,No,Yes
33,女性,No,No,No,No,No,No
34,女性,No,No,No,Yes,No,Yes
35,男性,No,Yes,No,No,No,Yes
36,男性,No,Yes,No,Yes,No,No
37,男性,No,No,No,No,No,No
38,女性,No,No,Yes,Yes,Yes,Yes
39,女性,No,No,No,Yes,No,Yes
40,女性,No,No,No,Yes,Yes,No
41,女性,No,No,No,Yes,Yes,No
42,女性,No,No,No,No,No,Yes
43,女性,No,No,No,No,Yes,Yes
44,男性,No,No,No,No,No,No
45,男性,Yes,No,Yes,Yes,Yes,Yes
46,男性,No,Yes,No,Yes,No,No
47,女性,No,No,No,No,Yes,Yes
48,女性,No,No,No,No,No,Yes
49,男性,Yes,No,No,No,No,No
50,男性,No,Yes,No,Yes,No,No
51,女性,No,No,No,Yes,No,Yes
52,男性,No,No,No,No,No,No
53,男性,No,No,No,Yes,No,No
54,女性,No,No,No,No,Yes,Yes
55,女性,Yes,No,No,Yes,Yes,Yes
56,男性,No,No,No,Yes,No,No
57,女性,Yes,Yes,Yes,Yes,Yes,Yes
58,男性,No,No,No,Yes,No,Yes
59,男性,No,No,No,Yes,No,Yes
60,男性,No,Yes,No,Yes,No,No
61,男性,No,No,No,No,No,Yes
62,女性,No,No,No,Yes,No,Yes
63,女性,Yes,No,No,No,Yes,Yes
64,男性,No,No,No,Yes,No,No
65,男性,No,No,No,Yes,No,Yes
66,女性,No,No,No,No,No,No
67,女性,No,No,No,Yes,No,Yes
68,女性,No,No,No,No,No,Yes
69,女性,No,No,No,No,No,No
70,女性,No,No,No,Yes,No,No
71,女性,No,No,No,No,No,No
72,男性,No,Yes,No,Yes,No,Yes
73,男性,No,No,No,Yes,No,No
74,男性,No,No,No,No,No,Yes
75,男性,No,No,No,No,No,Yes
76,女性,No,No,No,Yes,No,Yes
77,男性,No,Yes,Yes,Yes,No,Yes
78,女性,Yes,No,No,Yes,No,Yes
79,男性,No,Yes,No,No,No,No
80,女性,No,No,No,Yes,Yes,No
81,女性,No,No,No,Yes,No,Yes
82,女性,Yes,No,Yes,Yes,No,Yes
83,男性,No,No,No,No,No,No
84,男性,No,No,No,No,No,Yes
85,女性,No,No,No,Yes,Yes,No
86,男性,No,No,No,No,No,Yes
87,女性,No,No,No,Yes,No,No
88,男性,No,No,No,Yes,Yes,No
89,女性,Yes,No,No,Yes,No,No
90,女性,No,No,No,Yes,No,Yes
91,男性,No,No,No,Yes,Yes,No
92,女性,No,No,No,No,No,No
93,男性,No,No,No,Yes,No,Yes
94,女性,No,No,No,Yes,No,No
95,女性,No,No,Yes,Yes,Yes,Yes
96,男性,No,No,No,Yes,No,No
97,男性,No,No,No,No,No,No
98,女性,No,No,No,No,No,No
99,女性,No,No,No,No,Yes,No
100,女性,No,No,No,Yes,No,No
101,男性,No,No,No,No,No,No
102,女性,No,No,No,Yes,Yes,Yes
103,女性,No,No,No,No,No,No
104,男性,No,No,No,Yes,No,No
105,女性,No,No,No,Yes,No,Yes
